"Run","Repeat","Configuration","ChunkMiB","Operations","PoolMiB","BytesRead","ReadSubmissions","ImmediateReads","ImmediatePercent","ReadSeconds","TotalSeconds","MBps","MiBps"
"1","1","chunk-8MiB__ops-16","8","16","128","2147483648","256","0","0","0,288","0,288","7466,06","7120,19"
"2","1","chunk-8MiB__ops-1","8","1","8","2147483648","256","0","0","0,224","0,224","9592,07","9147,71"
"3","1","chunk-8MiB__ops-4","8","4","32","2147483648","256","0","0","0,26","0,26","8260,88","7878,19"
"4","1","chunk-8MiB__ops-2","8","2","16","2147483648","256","0","0","0,216","0,217","9919,65","9460,12"
"5","1","chunk-8MiB__ops-8","8","8","64","2147483648","256","0","0","0,244","0,244","8789,35","8382,18"
"6","2","chunk-8MiB__ops-1","8","1","8","2147483648","256","0","0","0,204","0,204","10531,27","10043,41"
"7","2","chunk-8MiB__ops-8","8","8","64","2147483648","256","0","0","0,243","0,243","8841,61","8432,02"
"8","2","chunk-8MiB__ops-16","8","16","128","2147483648","256","0","0","0,253","0,254","8473,36","8080,83"
"9","2","chunk-8MiB__ops-2","8","2","16","2147483648","256","0","0","0,218","0,218","9842,78","9386,81"
"10","2","chunk-8MiB__ops-4","8","4","32","2147483648","256","0","0","0,247","0,247","8685,16","8282,81"
"11","3","chunk-8MiB__ops-4","8","4","32","2147483648","256","0","0","0,236","0,236","9107,62","8685,7"
"12","3","chunk-8MiB__ops-8","8","8","64","2147483648","256","0","0","0,246","0,246","8717,98","8314,11"
"13","3","chunk-8MiB__ops-1","8","1","8","2147483648","256","0","0","0,197","0,197","10900,79","10395,8"
"14","3","chunk-8MiB__ops-16","8","16","128","2147483648","256","0","0","0,253","0,253","8486,58","8093,44"
"15","3","chunk-8MiB__ops-2","8","2","16","2147483648","256","0","0","0,211","0,212","10156,09","9685,61"
"16","4","chunk-8MiB__ops-8","8","8","64","2147483648","256","0","0","0,245","0,245","8780,49","8373,72"
"17","4","chunk-8MiB__ops-2","8","2","16","2147483648","256","0","0","0,213","0,213","10068,96","9602,51"
"18","4","chunk-8MiB__ops-4","8","4","32","2147483648","256","0","0","0,234","0,234","9192,66","8766,8"
"19","4","chunk-8MiB__ops-1","8","1","8","2147483648","256","0","0","0,195","0,196","10985,62","10476,71"
"20","4","chunk-8MiB__ops-16","8","16","128","2147483648","256","0","0","0,254","0,254","8456,55","8064,8"
"21","5","chunk-8MiB__ops-4","8","4","32","2147483648","256","0","0","0,232","0,232","9244,54","8816,28"
"22","5","chunk-8MiB__ops-1","8","1","8","2147483648","256","0","0","0,198","0,198","10843,74","10341,39"
"23","5","chunk-8MiB__ops-8","8","8","64","2147483648","256","0","0","0,25","0,25","8579,29","8181,85"
"24","5","chunk-8MiB__ops-2","8","2","16","2147483648","256","0","0","0,211","0,211","10168,1","9697,06"
"25","5","chunk-8MiB__ops-16","8","16","128","2147483648","256","0","0","0,252","0,252","8510,35","8116,1"
"26","6","chunk-8MiB__ops-16","8","16","128","2147483648","256","0","0","0,253","0,253","8495,59","8102,03"
"27","6","chunk-8MiB__ops-2","8","2","16","2147483648","256","0","0","0,211","0,211","10201,49","9728,9"
"28","6","chunk-8MiB__ops-4","8","4","32","2147483648","256","0","0","0,234","0,234","9189,84","8764,11"
"29","6","chunk-8MiB__ops-1","8","1","8","2147483648","256","0","0","0,2","0,2","10725,93","10229,04"
"30","6","chunk-8MiB__ops-8","8","8","64","2147483648","256","0","0","0,247","0,247","8695,09","8292,29"
"31","7","chunk-8MiB__ops-16","8","16","128","2147483648","256","0","0","0,253","0,253","8482,52","8089,56"
"32","7","chunk-8MiB__ops-8","8","8","64","2147483648","256","0","0","0,246","0,246","8741,65","8336,68"
"33","7","chunk-8MiB__ops-4","8","4","32","2147483648","256","0","0","0,234","0,234","9193,54","8767,64"
