"Configuration","Streams","RequestedSendKiB","RequestedReceiveKiB","Runs","SenderMeanMBps","SenderStdDevMBps","SenderCvPercent","SenderMinMBps","SenderMaxMBps","ReceiverMeanMBps","ReceiverStdDevMBps","ReceiverCvPercent","ReceiverMinMBps","ReceiverMaxMBps","ActualSenderSendBufferBytes","ActualReceiverReceiveBufferBytes"
"streams-4__send-default__recv-1024KiB","4","default","1024","10","23229,39","517,42","2,23","22153,04","23802,23","23190,04","517,77","2,23","22109,18","23761,54","65536","1048576"
"streams-4__send-default__recv-4096KiB","4","default","4096","10","23145,9","568,92","2,46","22168,87","23889,52","23107,94","567,2","2,45","22134,43","23849,64","65536","4194304"
"streams-4__send-4096KiB__recv-4096KiB","4","4096","4096","10","22897,16","1029,46","4,5","20796,38","23923,03","22858,72","1027,68","4,5","20765,79","23882,66","4194304","4194304"
"streams-4__send-256KiB__recv-1024KiB","4","256","1024","10","22717,71","815,85","3,59","21114,02","23686,85","22678,46","811,55","3,58","21082,5","23638,27","262144","1048576"
"streams-4__send-1024KiB__recv-1024KiB","4","1024","1024","10","22670,8","1227,76","5,42","19807,91","23957,89","22634,75","1224,12","5,41","19779,97","23917,84","1048576","1048576"
"streams-4__send-4096KiB__recv-1024KiB","4","4096","1024","10","22615,99","1706,73","7,55","18300,79","23837,37","22579,09","1702,35","7,54","18274,68","23796,81","4194304","1048576"
"streams-4__send-256KiB__recv-4096KiB","4","256","4096","10","22203,78","1748,91","7,88","17954,52","23596,22","22166,84","1743,92","7,87","17931,52","23557,48","262144","4194304"
"streams-4__send-1024KiB__recv-4096KiB","4","1024","4096","10","22191,17","1650,61","7,44","18004,82","23750,2","22155,22","1645,34","7,43","17982,54","23710,44","1048576","4194304"
"streams-4__send-1024KiB__recv-256KiB","4","1024","256","10","14993,44","729","4,86","13481,55","15808,7","14976,03","726,76","4,85","13467,64","15788,09","1048576","262144"
"streams-4__send-256KiB__recv-256KiB","4","256","256","10","14382,98","1057,93","7,36","12939,15","15603,85","14367,54","1055,05","7,34","12927,51","15585,78","262144","262144"
"streams-4__send-default__recv-256KiB","4","default","256","10","14305,82","869,88","6,08","13064,58","15603,01","14290,6","868,37","6,08","13052,72","15585,9","65536","262144"
"streams-4__send-1024KiB__recv-default","4","1024","default","10","12990,56","778,21","5,99","12003,38","13989,84","12978,32","776,34","5,98","11993,43","13973,82","1048576","65536"
"streams-4__send-default__recv-default","4","default","default","10","12684,06","1259,88","9,93","10882,56","14778,34","12672,63","1257,63","9,92","10874,2","14763,04","65536","65536"
"streams-4__send-256KiB__recv-default","4","256","default","10","12589,04","472,42","3,75","12200,39","13788,64","12577,05","472,05","3,75","12188,94","13775,39","262144","65536"
"streams-4__send-4096KiB__recv-256KiB","4","4096","256","10","12467,48","1008,59","8,09","11109,64","14398,04","12456,4","1006,81","8,08","11100,98","14383,48","4194304","262144"
"streams-4__send-4096KiB__recv-default","4","4096","default","10","12227,3","1301,9","10,65","10151,5","14192,34","12216,42","1300,12","10,64","10144,08","14178,19","4194304","65536"
