"Run","Repeat","Configuration","Streams","RequestedSendKiB","RequestedReceiveKiB","SenderElapsedSeconds","SenderMBps","ReceiverElapsedSeconds","ReceiverMBps","ActualSenderSendBufferBytes","ActualSenderReceiveBufferBytes","ActualReceiverSendBufferBytes","ActualReceiverReceiveBufferBytes"
"1","1","streams-8__send-default__recv-1024KiB","8","default","1024","0,620396","27691,77","0,621604","27637,96","65536","65536","65536","1048576"
"2","1","streams-4__send-default__recv-1024KiB","4","default","1024","0,822406","20889,76","0,823616","20859,07","65536","65536","65536","1048576"
"3","1","streams-2__send-default__recv-1024KiB","2","default","1024","1,296092","13255,13","1,297377","13242","65536","65536","65536","1048576"
"4","1","streams-1__send-default__recv-1024KiB","1","default","1024","1,721093","9981,96","1,722285","9975,04","65536","65536","65536","1048576"
"5","2","streams-1__send-default__recv-1024KiB","1","default","1024","1,724879","9960,04","1,726088","9953,07","65536","65536","65536","1048576"
"6","2","streams-2__send-default__recv-1024KiB","2","default","1024","1,142516","15036,87","1,143665","15021,77","65536","65536","65536","1048576"
"7","2","streams-8__send-default__recv-1024KiB","8","default","1024","0,737934","23281,04","0,739137","23243,16","65536","65536","65536","1048576"
"8","2","streams-4__send-default__recv-1024KiB","4","default","1024","0,872389","19692,9","0,873586","19665,92","65536","65536","65536","1048576"
"9","3","streams-8__send-default__recv-1024KiB","8","default","1024","0,660265","26019,65","0,661478","25971,94","65536","65536","65536","1048576"
"10","3","streams-1__send-default__recv-1024KiB","1","default","1024","1,721216","9981,24","1,722429","9974,21","65536","65536","65536","1048576"
"11","3","streams-4__send-default__recv-1024KiB","4","default","1024","0,913749","18801,53","0,914943","18776,98","65536","65536","65536","1048576"
"12","3","streams-2__send-default__recv-1024KiB","2","default","1024","1,236","13899,57","1,237212","13885,95","65536","65536","65536","1048576"
"13","4","streams-1__send-default__recv-1024KiB","1","default","1024","1,742413","9859,82","1,743691","9852,59","65536","65536","65536","1048576"
"14","4","streams-2__send-default__recv-1024KiB","2","default","1024","1,010017","17009,48","1,011237","16988,96","65536","65536","65536","1048576"
"15","4","streams-4__send-default__recv-1024KiB","4","default","1024","0,740817","23190,44","0,74204","23152,22","65536","65536","65536","1048576"
"16","4","streams-8__send-default__recv-1024KiB","8","default","1024","0,661659","25964,83","0,662868","25917,47","65536","65536","65536","1048576"
"17","5","streams-8__send-default__recv-1024KiB","8","default","1024","0,643052","26716,16","0,644254","26666,28","65536","65536","65536","1048576"
"18","5","streams-1__send-default__recv-1024KiB","1","default","1024","1,71555","10014,21","1,716737","10007,28","65536","65536","65536","1048576"
"19","5","streams-4__send-default__recv-1024KiB","4","default","1024","0,736183","23336,42","0,737387","23298,31","65536","65536","65536","1048576"
"20","5","streams-2__send-default__recv-1024KiB","2","default","1024","1,011712","16980,98","1,013168","16956,58","65536","65536","65536","1048576"
"21","6","streams-1__send-default__recv-1024KiB","1","default","1024","1,722841","9971,82","1,724047","9964,85","65536","65536","65536","1048576"
"22","6","streams-2__send-default__recv-1024KiB","2","default","1024","1,020451","16835,56","1,021658","16815,67","65536","65536","65536","1048576"
"23","6","streams-4__send-default__recv-1024KiB","4","default","1024","0,717447","23945,83","0,71865","23905,75","65536","65536","65536","1048576"
"24","6","streams-8__send-default__recv-1024KiB","8","default","1024","0,655987","26189,34","0,657186","26141,55","65536","65536","65536","1048576"
"25","7","streams-8__send-default__recv-1024KiB","8","default","1024","0,654009","26268,56","0,65521","26220,39","65536","65536","65536","1048576"
"26","7","streams-2__send-default__recv-1024KiB","2","default","1024","1,053769","16303,26","1,05528","16279,91","65536","65536","65536","1048576"
"27","7","streams-1__send-default__recv-1024KiB","1","default","1024","1,710203","10045,51","1,711364","10038,7","65536","65536","65536","1048576"
"28","7","streams-4__send-default__recv-1024KiB","4","default","1024","0,733518","23421,19","0,73472","23382,89","65536","65536","65536","1048576"
"29","8","streams-4__send-default__recv-1024KiB","4","default","1024","0,758208","22658,5","0,759434","22621,94","65536","65536","65536","1048576"
"30","8","streams-2__send-default__recv-1024KiB","2","default","1024","1,026382","16738,28","1,027611","16718,26","65536","65536","65536","1048576"
"31","8","streams-1__send-default__recv-1024KiB","1","default","1024","1,70848","10055,64","1,709717","10048,37","65536","65536","65536","1048576"
"32","8","streams-8__send-default__recv-1024KiB","8","default","1024","0,66629","25784,38","0,667534","25736,34","65536","65536","65536","1048576"
"33","9","streams-4__send-default__recv-1024KiB","4","default","1024","0,735706","23351,55","0,737008","23310,3","65536","65536","65536","1048576"
"34","9","streams-8__send-default__recv-1024KiB","8","default","1024","0,658464","26090,83","0,659668","26043,22","65536","65536","65536","1048576"
"35","9","streams-1__send-default__recv-1024KiB","1","default","1024","1,703728","10083,69","1,704945","10076,5","65536","65536","65536","1048576"
"36","9","streams-2__send-default__recv-1024KiB","2","default","1024","1,024014","16776,98","1,025204","16757,51","65536","65536","65536","1048576"
"37","10","streams-8__send-default__recv-1024KiB","8","default","1024","0,840868","20431,11","0,84207","20401,94","65536","65536","65536","1048576"
"38","10","streams-1__send-default__recv-1024KiB","1","default","1024","1,748833","9823,62","1,750062","9816,72","65536","65536","65536","1048576"
"39","10","streams-4__send-default__recv-1024KiB","4","default","1024","0,730889","23505,44","0,7321","23466,56","65536","65536","65536","1048576"
"40","10","streams-2__send-default__recv-1024KiB","2","default","1024","1,017468","16884,93","1,018806","16862,75","65536","65536","65536","1048576"
