"Repeat","Mode","ChunkMiB","MBps"
"1","iocp","4","9545,1"
"1","blocking","4","9640,07"
"2","iocp","4","10026,08"
"2","blocking","4","10047,84"
"3","iocp","4","10924,49"
"3","blocking","4","10956,49"
"4","blocking","4","11094,28"
"4","iocp","4","10921,81"
"5","blocking","4","10944,06"
"5","iocp","4","10374,48"
"6","blocking","4","10709,01"
"6","iocp","4","11098,75"
"7","iocp","4","10919,99"
"7","blocking","4","11035,65"
"8","blocking","4","11081,27"
"8","iocp","4","11079"
"9","blocking","4","10970,42"
"9","iocp","4","11104,13"
"10","blocking","4","10992,29"
"10","iocp","4","10959,84"
"11","blocking","4","11076,28"
"11","iocp","4","10571,33"
"12","iocp","4","10890,08"
"12","blocking","4","10886,79"
"13","blocking","4","10959,04"
"13","iocp","4","11000,97"
"14","iocp","4","10912,68"
"14","blocking","4","11064,42"
"15","blocking","4","10957,05"
"15","iocp","4","10960,44"
"16","blocking","4","11048,45"
"16","iocp","4","10750,12"
"17","iocp","4","10869,2"
"17","blocking","4","11090,11"
"18","blocking","4","10847,14"
"18","iocp","4","11080,93"
"19","blocking","4","11030,7"
"19","iocp","4","11113,89"
"20","iocp","4","11053,9"
"20","blocking","4","11098,02"
